GEOID,population,smallPop,education,poverty,foodstamps
15000US110010074062,924,2,420,221,162
15000US110010074071,945,2,492,232,141
15000US110010074072,2005,4,1192,486,272
15000US110010074081,3357,7,1799,716,524
15000US110010074091,1126,2,650,252,197
15000US110010074092,918,2,554,223,198
15000US110010074093,1804,4,832,489,404
15000US110010075021,3458,7,1736,648,294
15000US110010075022,1814,4,1084,344,274
15000US110010075031,744,1,521,127,63
15000US110010075032,1868,4,774,376,265
15000US110010075041,2530,5,1349,524,454
15000US110010076011,538,1,408,113,68
15000US110010076012,360,1,345,75,85
15000US110010076013,1517,3,1109,287,199
15000US110010076014,604,1,354,111,120
15000US110010076015,859,2,697,197,106
15000US110010076031,1140,2,975,158,193
15000US110010076032,599,1,564,133,20
15000US110010076033,744,1,641,170,10
15000US110010076034,1149,2,911,275,159
15000US110010076041,977,2,710,228,68
15000US110010076042,1638,3,1283,375,93
15000US110010076043,1191,2,869,242,158
15000US110010076051,776,2,643,174,47
15000US110010076052,2238,4,1591,550,299
15000US110010076053,521,1,339,89,44
15000US110010077031,773,2,680,141,50
15000US110010077032,898,2,584,244,71
15000US110010077033,2728,5,1283,560,737
15000US110010077034,484,1,231,155,82
15000US110010077071,2965,6,1616,632,324
15000US110010077072,1427,3,1019,290,128
15000US110010077081,1337,3,669,359,143
15000US110010077082,1460,3,992,304,283
15000US110010077091,959,2,783,173,162
15000US110010077092,811,2,590,184,103
15000US110010078031,805,2,584,127,94
15000US110010078032,488,1,365,84,57
15000US110010078033,423,1,292,88,0
15000US110010078034,1290,3,863,299,198
15000US110010078041,957,2,612,149,81
15000US110010078042,1032,2,571,235,128
15000US110010078043,1306,3,973,218,71
15000US110010078061,1008,2,691,229,155
15000US110010078062,1108,2,714,233,99
15000US110010078071,1374,3,828,336,141
15000US110010078072,846,2,566,189,107
15000US110010078081,2406,5,1229,480,320
15000US110010078082,889,2,595,162,65
15000US110010078083,1029,2,398,174,99
15000US110010078091,1641,3,1129,400,200
15000US110010078092,1023,2,656,218,115
15000US110010079011,255,1,200,67,14
15000US110010079012,1187,2,815,217,128
15000US110010079013,1567,3,1085,302,155
15000US110010079014,1008,2,745,217,116
15000US110010079031,1692,3,1145,348,164
15000US110010080011,1090,2,901,242,0
15000US110010080012,1143,2,978,214,59
15000US110010080013,788,2,551,168,0
15000US110010080021,1359,3,1181,281,49
15000US110010080022,2326,5,1771,467,65
15000US110010081001,731,1,575,105,14
15000US110010081002,1538,3,1216,276,27
15000US110010081003,946,2,788,166,11
15000US110010082001,628,1,531,111,0
15000US110010082002,2425,5,1719,256,0
15000US110010083011,1096,2,885,214,11
